dogID,productID,dogColor,dogBreed
4000,4124,"Brown","Chocolate Labrador"
4001,4125,"Black/brown","Australian Shepherd"
4002,4126,"Yellow","Golden Retriever"
4003,4127,"Silver","Silver Labrador"
4004,4128,"White""","Pomeranian"
4005,4129,"Red","RidgeBack"
4006,4130,"Tan","German Shepherd"
4007,4131,"White ","Poodle"
4008,4132,"Black/brown","Boxer"
4009,4133,"Yellow","Cocker Spaniel"
4010,4134,"Silver","Border Collie"
4011,4135,"Orange","Nova Scotia Duck Tolling Retriever"
4012,4136,"Black","Xoloitzcuintli"
4013,4137,"White","American Eskimo"
4014,4138,"White","Siberian Husky"
4015,4124,"Brown","Chocolate Labrador"
4016,4125,"Black/brown","Australian Shepherd"
4017,4126,"Yellow","Golden Retriever"
4018,4127,"Silver","Silver Labrador"
4019,4128,"White","Pomeranian"
4020,4129,"Red","RidgeBack"
4021,4130,"Tan","German Shepherd"
4022,4131,"White ","Poodle"
4023,4132,"Black/brown","Boxer"
4024,4133,"Yellow","Cocker Spaniel"
4025,4134,"Silver","Border Collie"
4026,4135,"Orange","Nova Scotia Duck Tolling Retriever"
4027,4136,"Black","Xoloitzcuintli"
4028,4137,"White","American Eskimo"
4029,4138,"White","Siberian Husky"
4030,4124,"Brown","Chocolate Labrador"
4031,4125,"Black/brown","Australian Shepherd"
4032,4126,"Yellow","Golden Retriever"
4033,4127,"Silver","Silver Labrador"
4034,4128,"White","Pomeranian"
4035,4129,"Red","RidgeBack"
4036,4130,"Tan","German Shepherd"
4037,4131,"White ","Poodle"
4038,4132,"Black/brown","Boxer"
4039,4133,"Yellow","Cocker Spaniel"
4040,4134,"Silver","Border Collie"
4041,4135,"Orange","Nova Scotia Duck Tolling Retriever"
4042,4136,"Black","Xoloitzcuintli"
4043,4137,"White","American Eskimo"
4044,4138,"White","Siberian Husky"
4045,4124,"Brown","Chocolate Labrador"
4046,4125,"Black/brown","Australian Shepherd"
4047,4126,"Yellow","Golden Retriever"
4048,4127,"Silver","Silver Labrador"
4049,4128,"White","Pomeranian"
4050,4129,"Red","RidgeBack"
4051,4130,"Tan","German Shepherd"
4052,4131,"White ","Poodle"
4053,4132,"Black/brown","Boxer"
4054,4133,"Yellow","Cocker Spaniel"
4055,4134,"Silver","Border Collie"
4056,4135,"Orange","Nova Scotia Duck Tolling Retriever"
4057,4136,"Black","Xoloitzcuintli"
4058,4137,"White","American Eskimo"
4059,4138,"White","Siberian Husky"
4060,4124,"Brown","Chocolate Labrador"
4061,4125,"Black/brown","Australian Shepherd"
4062,4126,"Yellow","Golden Retriever"
4063,4127,"Silver","Silver Labrador"
4064,4128,"White","Pomeranian"
4065,4129,"Red","RidgeBack"
4066,4130,"Tan","German Shepherd"
4067,4131,"White ","Poodle"
4068,4132,"Black/brown","Boxer"
4069,4133,"Yellow","Cocker Spaniel"
4070,4134,"Silver","Border Collie"
4071,4135,"Orange","Nova Scotia Duck Tolling Retriever"
4072,4136,"Black","Xoloitzcuintli"
4073,4137,"White","American Eskimo"
4074,4138,"White","Siberian Husky"
4075,4124,"Brown","Chocolate Labrador"
4076,4125,"Black/brown","Australian Shepherd"
4077,4126,"Yellow","Golden Retriever"
4078,4127,"Silver","Silver Labrador"
4079,4128,"White","Pomeranian"
4080,4129,"Red","RidgeBack"
4081,4130,"Tan","German Shepherd"
4082,4131,"White ","Poodle"
4083,4132,"Black/brown","Boxer"
4084,4133,"Yellow","Cocker Spaniel"
4085,4134,"Silver","Border Collie"
4086,4135,"Orange","Nova Scotia Duck Tolling Retriever"
4087,4136,"Black","Xoloitzcuintli"
4088,4137,"White","American Eskimo"
4089,4138,"White","Siberian Husky"
4090,4124,"Brown","Chocolate Labrador"
4091,4125,"Black/brown","Australian Shepherd"
4092,4126,"Yellow","Golden Retriever"
4093,4127,"Silver","Silver Labrador"
4094,4128,"White","Pomeranian"
4095,4129,"Red","RidgeBack"
4096,4130,"Tan","German Shepherd"
4097,4131,"White ","Poodle"
4098,4132,"Black/brown","Boxer"
4099,4133,"Yellow","Cocker Spaniel"
